id	mode	source	genre	condition	raw	source_file	source_line	document	identity	source_role
001555422876f02afe09e546cdf6decc85cf004e8fef1e3bd8784f60df4a4dd0	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	guanlian	docs/release-hardening/chat-inputs.tsv.gz	4463	g0v-file-line-4545	g0v-file-line-4545/0:2	reused-regression; original conversations unavailable
009fbc34212b0aa14591d7c95f382f6b3008d3658bfe866ca884c869a9ffc09a	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	zhongshouyugaizuoshou	docs/release-hardening/chat-inputs.tsv.gz	1895	g0v-file-line-7391	g0v-file-line-7391/2:8	reused-regression; original conversations unavailable
00decfbb99ba111faadb4c8f872e63a33dc3b10744fda1af03d3ec543990b1c5	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	xinyipiyuyinziliao	docs/release-hardening/chat-inputs.tsv.gz	650	g0v-file-line-8787	g0v-file-line-8787/0:7	reused-regression; original conversations unavailable
00f44b4f4d2e3a12568bbc0035664a6aa407ef2f198fd82c63a4cb27041a51f2	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	yibai	docs/release-hardening/chat-inputs.tsv.gz	1592	g0v-file-line-496	g0v-file-line-496/0:2	reused-regression; original conversations unavailable
00ffe57b55a10a2ccd0423e354768add563848615c43ed703dbd68e1dad920fe	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	tiaozhanbukeneng	docs/release-hardening/chat-inputs.tsv.gz	4304	g0v-file-line-5122	g0v-file-line-5122/0:5	reused-regression; original conversations unavailable
010de2c13ae647223231124883697dd9aa31052e15bc0f09fa4cb6dc26bc092d	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	xiangzuozhi	docs/release-hardening/chat-inputs.tsv.gz	3686	g0v-file-line-8783	g0v-file-line-8783/0:3	reused-regression; original conversations unavailable
011d015c0b0f14ffba0c0a791910dfa2185371a5879046689966fd9377eed1fd	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	bendianguo	docs/release-hardening/chat-inputs.tsv.gz	1049	g0v-file-line-4672	g0v-file-line-4672/1:4	reused-regression; original conversations unavailable
0122b8f18127e96f1a9da5f04a126f74347d1dd902effbc94502f14710cc2063	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	duoguan	docs/release-hardening/chat-inputs.tsv.gz	932	g0v-file-line-4822	g0v-file-line-4822/3:5	reused-regression; original conversations unavailable
012c179e3fa2af208498a8aabf4f9fb24829cbf1f5fef58759951a43dde33fa9	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	tongxuanjudianshi	docs/release-hardening/chat-inputs.tsv.gz	3308	g0v-file-line-4393	g0v-file-line-4393/1:6	reused-regression; original conversations unavailable
014125230b5e40a3a131333db7268da160dd5ddff0fab5d221e3f8bb656648f3	chinese	moztw-g0v-edited	chat-derived-edited-excerpts	full	shuiyixiaoshi	docs/release-hardening/chat-inputs.tsv.gz	3239	g0v-file-line-8045	g0v-file-line-8045/2:6	reused-regression; original conversations unavailable
